method,step,mean_reward,std_reward,n_tasks
SimbaV2,130000,214.02210005112232,192.598945658604,7
SimbaV2,140000,235.0757590178494,198.86916986891472,7
SimbaV2,150000,256.12941798457655,205.55561950861073,7
SimbaV2,160000,277.18307695130363,212.61902979380355,7
SimbaV2,170000,298.2367359180308,220.0230989714944,7
SimbaV2,180000,319.2903948847579,227.73460313104334,7
SimbaV2,190000,340.344053851485,235.72337172448496,7
SimbaV2,200000,361.39771281821214,243.96216842522483,7
TDMPC2,0,7.6761904761904765,8.320828713306776,7
TDMPC2,10000,10.173809523809524,12.60259826657912,7
TDMPC2,20000,12.671428571428573,16.929566385156413,7
TDMPC2,30000,15.16904761904762,21.274172022386562,7
TDMPC2,40000,17.666666666666664,25.627446513744097,7
TDMPC2,50000,20.16428571428571,29.985614496280984,7
TDMPC2,60000,22.66190476190476,34.34681325759904,7
TDMPC2,70000,25.159523809523808,38.71001843855447,7
TDMPC2,80000,27.657142857142855,43.074620328008876,7
TDMPC2,90000,30.1547619047619,47.44023342711382,7
TDMPC2,100000,32.65238095238095,51.806602100157285,7
TDMPC2,110000,42.40238095238095,65.17961086885893,7
TDMPC2,120000,52.15238095238095,78.68067553500988,7
TDMPC2,130000,61.90238095238096,92.25359131249533,7
TDMPC2,140000,71.65238095238097,105.87072728208726,7
TDMPC2,150000,81.40238095238097,119.51696974991066,7
TDMPC2,160000,91.15238095238094,133.1833720812842,7
TDMPC2,170000,100.90238095238097,146.86430647866868,7
TDMPC2,180000,110.65238095238094,160.5560581658525,7
TDMPC2,190000,120.40238095238097,174.25607733399346,7
TDMPC2,200000,130.15238095238095,187.96255621714272,7
